Temporada;Jornada;Recaptaci√≥;Pot;15;14;13;12;11;10
12-13;17;8257438,50;0;7;12;322;5418;50880;290182
12-13;18;9663915,00;3278821;35;119;4684;54725;327122;1145324
12-13;19;1813548,00;0;4;14;783;10714;67278;236506
12-13;20;8110159,00;869752;3;5;117;2281;22545;135332
12-13;21;1580166,00;0;0;0;425;6679;48733;206022
12-13;22;8027952,50;0;0;0;29;575;6656;47506
12-13;23;1832898,00;0;0;0;10;208;2177;15147
12-13;24;7690065,00;653071;26;43;3113;41723;257247;913022
12-13;25;9081153,50;2861493;0;0;8;193;2588;22110
12-13;26;7740583,00;4859347;1;10;191;2909;24687;145121
12-13;27;7555721,00;0;58;240;4940;46855;252357;872485
12-13;28;8233978,50;680015;12;17;626;8064;62871;309527
12-13;29;7964447,50;0;3;6;146;2165;21108;125156
12-13;30;7920503,00;0;23;196;7329;77051;382331;1141977
12-13;31;8481401,00;712845;1;1;92;1513;17507;113272
12-13;32;7737307,00;0;2;2;48;816;7564;46983
12-13;33;1491251,50;0;0;0;13;242;2530;16551
12-13;34;7094749,00;0;128;276;6584;60980;308565;984004
12-13;35;1532359,50;0;0;0;7;125;1583;12529
12-13;36;7025370,50;0;0;4;121;1770;15634;93070
12-13;37;8030534,00;1303722;0;2;30;455;4581;30971
12-13;38;8501005,50;2809312;3;8;229;3420;31894;193510
12-13;39;7666267,00;0;13;26;684;10658;86714;434005
12-13;40;3590881,00;0;0;0;20;215;2603;17706
12-13;41;6728457,50;0;0;0;6;169;1833;12986
12-13;42;8181555,00;2270254;37;69;2760;31255;197828;796938
12-13;43;7843211,00;736340;4;11;264;3596;27782;149865
12-13;44;7269870,50;0;18;67;1631;18468;123374;507051
12-13;45;7435599,50;0;1;2;41;563;5752;38535
12-13;46;6899057,50;0;60;244;5797;60491;343370;1048417
12-13;47;7433546,00;620915;0;2;55;1275;15974;111678
12-13;48;6979249,00;1364270;7;9;209;3131;25554;137507
12-13;49;6559514,00;0;0;2;69;857;8258;56286
12-13;50;7162491,50;655951;1;9;260;3541;29752;162969
12-13;51;3727500,50;0;75;112;2312;21969;120870;429567
13-14;01;4857762,00;0;22;43;1131;12899;84879;359786
13-14;02;5387057,00;0;0;3;176;4096;37135;202965
13-14;03;5945918,50;0;6;8;127;2155;18456;99946
13-14;04;3120552,00;0;0;0;3;57;536;3479
13-14;05;7125143,50;874181;59;124;2883;31518;190643;702526
13-14;06;1879980,50;0;8;13;987;17802;135315;428451
13-14;07;6519768,00;0;3;7;332;5311;44152;235699
13-14;08;2772968,00;0;700;980;27513;176836;533542;982248
13-14;09;6898037,50;1327784;0;3;171;2833;25362;149390
13-14;10;2090683,50;0;49;103;2446;24085;129759;403911
13-14;11;7493909,00;2436353;26;93;2590;31306;197509;732682
13-14;12;3173073,50;0;0;0;16;270;2821;16884
13-14;13;7137857,50;0;0;0;12;198;2216;16761
13-14;14;1862124,50;0;6;41;1276;14648;90284;309075
13-14;15;7206125,00;3131018;8;10;186;2622;22392;126834
13-14;16;3005688,00;0;1;2;96;2173;20785;118171
13-14;17;5678232,50;0;5;12;128;1631;11835;65417
13-14;18;2221910,00;0;3;10;419;6194;50297;228680
13-14;19;6511960,00;0;0;2;107;1657;14984;89876
13-14;20;3379628,00;0;1;1;24;465;4307;26285
13-14;21;6902778,00;0;517;868;15142;117768;514359;1394688
13-14;22;1870602,50;0;1;8;361;7232;62010;278369
13-14;23;6562766,50;0;0;0;37;883;9090;58955
13-14;24;3435150,50;0;0;0;14;202;2066;15560
13-14;25;1875747,00;0;23;56;1324;15584;98447;342189
13-14;26;6090727,50;0;5;7;256;4191;34299;175856
13-14;27;1527557,50;0;7;16;623;8177;63394;266902
13-14;28;6165899,00;0;1;5;267;3640;27951;151945
13-14;29;6544290,00;0;19;48;1678;17897;116536;493571
13-14;30;6743473,50;0;0;1;16;316;3048;21840
13-14;31;6951256,00;0;1;1;21;438;5252;39549
13-14;32;6900542,00;0;1;3;78;1473;13716;87831
13-14;33;9696745,50;4176722;2;2;70;1927;19319;120590
13-14;34;7414125,00;0;0;1;24;457;4870;36802
13-14;35;7502212,00;0;5;19;525;7461;68461;384178
13-14;36;1547078,50;0;0;0;2;47;631;5181
13-14;37;6761010,50;0;5;84;2546;28443;165980;599520
13-14;38;1476855,00;0;0;0;4;111;1385;11075
13-14;39;6556205,00;0;0;2;25;449;4206;25968
13-14;40;7189557,50;0;1;1;35;938;10531;74416
13-14;41;6960137,50;0;18;33;502;6143;48436;249070
13-14;42;8810137,50;2218505;70;271;5414;48307;247842;823433
13-14;43;2581364,50;0;1;8;338;4279;33963;167609
13-14;44;6477805,00;0;0;0;28;365;3630;25732
13-14;45;6984683,50;0;29;147;5208;62799;332795;1013204
13-14;46;7027870,00;0;18;45;2355;35550;240707;890197
13-14;47;5228599,50;0;35;97;3361;37098;207340;697396
13-14;48;6230834,00;0;13;19;354;4370;32623;160783
13-14;49;6093702,50;0;1;1;2;46;599;4812
13-14;50;6276115,50;0;0;0;14;326;3325;24011
13-14;51;7783597,50;4134780;3;9;199;2796;22989;129585
13-14;52;2906769,00;0;0;0;22;492;4518;29197
13-14;53;2988829,00;0;0;3;149;2217;17498;84850
13-14;54;3137060,00;0;53;98;2562;27163;145201;467767
14-15;04;5854852,00;3438898,41;0;3;51;601;6488;44563
14-15;06;5513333,50;0,00;1;6;184;4268;50549;287932
14-15;08;5440425,50;0,00;0;4;235;2882;22317;116862
14-15;10;5701857,00;0,00;0;40;1187;13299;85996;348134
14-15;12;6114654,00;0,00;0;380;8118;78138;397909;1180000
14-15;14;6154575,50;1709599,49;108;899;14441;99069;401350;1070608
14-15;15;5755222,00;0,00;0;4;81;1225;12710;89236
14-15;17;5844849,00;0,00;0;0;24;387;3923;26227
14-15;19;6573992,00;2563398,62;3;11;456;6698;53109;267411
14-15;21;5797526,00;0,00;0;35;676;8198;65266;347932
14-15;23;5380784,50;0,00;12;51;5221;82071;405629;1077148
14-15;25;5320811,00;0,00;0;0;49;1030;10385;66016
14-15;27;4972741,50;0,00;6;9;354;5786;53910;251753
14-15;28;5588875,00;0,00;0;0;3;70;746;5799
14-15;29;5612827,00;0,00;0;3;224;3263;26136;135149
14-15;30;7611744,50;4627758,64;10;33;934;13957;107733;511790
14-15;31;6380822,00;0,00;362;525;9802;80913;378094;1105550
14-15;32;6284366,50;0,00;5;22;669;9056;65642;302417
14-15;34;7762676,50;3793036,27;0;7;160;2333;21974;128549
14-15;36;7234451,00;4452863,77;0;175;3988;42021;250122;903489
14-15;38;7297255,00;5718892,70;2;28;564;7169;57096;287975
14-15;39;6816525,00;404678,74;1;9;347;4702;39903;210401
14-15;40;6589654,00;0,00;2;56;1299;15426;104368;453900
14-15;47;6084162,00;0,00;39;88;2706;29974;179316;646370
14-15;49;5460236,00;547574,58;0;2;46;784;8373;59839
14-15;50;6537223,00;1011694,64;4;19;497;6938;53711;270627
14-15;51;5451496,50;0,00;1;46;1275;15905;109352;453431
14-15;53;5319814,50;0,00;0;38;864;10677;74461;324249
15-16;01;4730701,50;0,00;0;0;55;832;7414;42006
15-16;02;5037252,75;0,00;0;0;13;238;2262;13877
15-16;05;6281674,50;2571261,08;3;9;137;1712;13980;78463
15-16;07;5560995,00;420448,61;0;0;21;327;3225;20509
15-16;09;5810540,25;1849670,91;0;0;8;137;1761;12658
15-16;11;6121188,00;3215147,87;0;0;10;150;1276;9076
15-16;14;7116751,50;4653627,05;0;32;633;6222;41968;190319
15-16;16;6821818,50;5187383,41;6;33;802;8265;51389;208909
15-16;18;5938397,25;572689,92;1;13;492;7798;59083;256482
15-16;20;6057846,75;141975,77;0;4;140;1798;15947;90438
15-16;22;6322100,25;951726,07;0;1;5;110;985;6260
15-16;24;6076590,75;1425883,59;93;186;3485;31990;164201;517863
15-16;26;5477540,25;0,00;0;3;33;449;5180;27586
15-16;28;5723933,25;527030,41;0;1;42;973;9294;56001
15-16;30;5535600,75;956325,00;0;4;222;5195;45232;214443
15-16;32;4094815,50;0,00;0;0;2;23;184;1152
15-16;33;6090486,75;1700828,81;27;36;1149;14706;94348;352115
15-16;35;5761362,75;0,00;0;1;29;366;3884;24616
15-16;36;6054444,00;432102,21;2;11;329;3676;25621;121811
15-16;37;5951967,00;0,00;0;5;164;2137;16853;86874
15-16;38;6308892,75;446397,53;38;467;12101;97403;410634;989887
15-16;40;5531940,00;567800,35;0;0;4;126;1156;8337
15-16;42;5944288,50;1867806,25;0;2;39;693;7681;50808
15-16;44;6029949,75;2313627,89;0;0;38;686;7861;51553
15-16;45;7431559,50;3730666,08;12;17;414;4431;32457;159096
15-16;46;5880600,00;0,00;0;1;7;97;1047;7682
15-16;48;5681884,50;0,00;0;2;10;234;2301;16638
15-16;49;5532187,50;0,00;15;27;1050;13022;92545;377211
15-16;50;5476816,50;0,00;0;0;12;119;1314;8504
15-16;52;4699156,50;0,00;1;1;49;806;7584;46737
15-16;53;5410166,25;0,00;1;13;301;3623;27370;133920
15-16;54;8140572,75;3776653,13;1;1;17;514;6042;43921
15-16;56;4400428,50;0,00;13;35;1430;17866;106409;358441
16-17;01;3890083,50;753455,36;0;0;5;60;758;6334
16-17;02;4502476,50;1667624,98;0;0;50;815;7348;40869
16-17;04;5791476,75;2725706,96;0;3;164;1951;15067;79801
16-17;06;5682400,50;3160067,72;2;3;130;1658;14814;86828
16-17;07;2412054,00;0,00;1;3;84;1306;11934;63018
16-17;08;4547561,25;0,00;0;0;15;252;2422;16213
16-17;10;5297205,75;1068676,89;0;24;915;11528;72895;272022
16-17;13;6037494,75;1856510,04;2;14;373;4571;34344;164317
16-17;15;4745880,00;0,00;46;305;5100;37137;159741;451884
16-17;16;5461337,25;564476,78;0;3;52;640;5639;33787
16-17;18;5339151,75;974077,07;0;0;8;120;1473;11438
16-17;20;5848487,25;2434666,42;0;1;4;251;3050;23206
16-17;22;5939808,75;2873302,96;1;16;349;4694;37157;186342
16-17;24;4905359,25;342433,13;0;0;12;174;1698;13068
16-17;26;5146134,00;1495192,55;0;32;780;9061;59537;246140
16-17;27;5750834,25;1881152,60;79;206;4619;43570;214547;616463
16-17;31;4689072,75;1075930,45;0;1;89;1725;15417;83991
16-17;32;5613832,50;1427610,91;9;50;1362;15370;96178;363473
16-17;33;5098174,50;0,00;2;7;268;3826;30550;156395
16-17;34;5069970,75;0,00;0;2;66;1046;8918;46869
16-17;35;5456942,25;380247,81;3;66;2273;27224;166529;580173
16-17;36;5477058,00;491124,80;2;15;410;5421;41517;199406
16-17;38;4840457,25;0,00;42;144;3605;33949;181223;611552
16-17;40;4943072,25;515287,55;8;26;948;11639;71092;257979
16-17;42;4902069,00;246556,13;203;1234;18477;118217;402220;851781
16-17;43;5437463,25;441186,21;0;0;10;228;3715;32512
16-17;44;5761757,25;1718990,07;3;11;224;2617;20177;107761
16-17;46;5553969,75;596516,72;1;7;221;3175;28089;155459
16-17;48;4534030,50;0,00;0;0;22;448;5162;36372
16-17;49;4790362,50;1198260,33;15;216;3896;31078;142802;425896
16-17;50;4692776,25;0,00;0;1;60;1593;16015;89191
16-17;52;4626024,00;351958,22;0;26;491;5272;35543;158139
16-17;53;5182905,75;698910,02;6;470;9191;76422;319436;802799
16-17;54;4790542,50;615370,10;0;0;30;505;4029;22856
16-17;55;5416167,75;1741147,59;0;8;152;1872;13640;69185
17-18;01;3291933,75;77255,83;0;0;1;29;339;2130
17-18;02;3715772,25;850860,26;0;1;51;578;5602;35262
17-18;04;4565453,25;1287706,48;0;0;37;1160;13835;88927
17-18;06;4600999,50;2360587,99;149;373;6140;43332;179331;502026
17-18;08;4069220,25;414089,96;1;4;89;1004;7001;35284
17-18;10;4297568,25;137079,79;3;13;263;3417;25947;134655
17-18;13;4301882,25;502935,77;0;0;5;127;1504;11159
17-18;15;4624596,75;1513878,10;2;7;175;2223;16834;89830
17-18;17;4087215,75;123484,89;0;0;25;462;4853;31635
17-18;19;4652651,25;1083980,59;1;24;448;4854;32352;147241
17-18;21;4487667,75;873295,30;0;1;26;419;4880;38113
17-18;23;4356334,50;1209870,38;0;0;12;181;1892;12645
17-18;25;4769103,00;2233608,99;0;0;21;466;4451;30313
17-18;27;4588591,50;3354348,20;2;43;1104;12374;74613;279796
17-18;28;4571611,50;888439,45;17;24;873;10355;65398;251074
17-18;32;3885153,75;1008111,83;0;0;11;184;1868;14105
17-18;33;4773013,50;1921122,96;0;230;5571;49852;229246;601032
17-18;34;5222361,75;2708670,19;0;2;38;572;5963;41045
17-18;35;5473392,75;3100347,32;0;12;463;5537;35932;149670
17-18;36;5650486,50;3510851,78;0;10;312;3822;27177;128398
17-18;37;6140796,00;3934638,27;0;54;1839;22337;139974;517372
17-18;39;5600903,25;4947869,61;1;17;852;11918;81095;334384
17-18;41;4152640,50;0,00;15;51;1594;18743;105883;308093
17-18;43;4199918,25;732295,13;0;0;17;486;5132;35566
17-18;45;4501649,25;139806,95;1;4;71;1338;12764;80949
17-18;47;4095158,25;488520,59;0;0;5;143;2197;17424
17-18;48;4550928,75;1450882,78;9;31;801;8585;54558;216541
17-18;49;4099162,50;0,00;0;1;93;1629;15148;87468
17-18;51;3341625,75;307437,19;0;0;2;20;224;1633
17-18;52;4274334,00;1092719,24;0;2;101;1422;12712;72329
17-18;53;4183865,25;1413294,29;0;1;6;113;1151;8782
17-18;54;4579587,75;1727084,18;0;1;63;1140;11480;72744
17-18;55;4488837,75;2070553,26;0;14;384;3792;25838;122998
18-19;01;3185209,50;687139,04;0;1;93;1405;12737;72703
18-19;02;3747463,50;926029,75;0;1;36;607;4969;27475
18-19;03;4231249,50;1207089,51;0;0;29;385;3796;23527
18-19;05;4811663,25;2407216,09;0;0;10;216;2180;16048
18-19;07;4750985,25;3537956,95;0;0;14;294;2799;18015
18-19;09;4936329,75;4654438,48;0;3;286;4718;35969;157957
18-19;11;5148432,75;5024663,21;0;8;175;2110;14473;69203
18-19;14;5995950,75;5410795,67;0;4;120;1455;11114;59512
18-19;16;5621107,50;5860491,98;5;48;1278;14287;91698;309615
18-19;18;3744387,75;0,00;0;0;2;93;1175;8818
18-19;20;3914616,00;879931,12;1;48;924;8918;50990;189304
18-19;22;3985083,75;0,00;0;0;7;184;2375;18721
18-19;24;3868785,75;936494,68;1;1;30;345;3332;21374
18-19;26;3466599,00;0,00;0;0;11;200;2455;18661
18-19;28;3892885,50;814650,77;0;47;1143;11593;66111;243942
18-19;29;4174941,75;1456976,88;1;25;594;6525;40502;164516
18-19;32;3897912,00;614288,65;0;0;3;55;401;2941
18-19;33;4193865,75;1530297,97;0;2;62;713;5797;33085
18-19;34;4599333,00;1844837,90;254;927;13159;77799;264950;591198
18-19;35;4259775,00;413939,97;0;14;282;3359;25364;125752
18-19;36;4346531,25;733423,10;0;0;17;334;3514;22948
18-19;37;4534971,75;1754857,94;0;0;13;251;2528;16606
18-19;39;5251162,50;2820576,30;0;0;46;1000;11879;74200
18-19;41;5527206,00;4054599,49;4;21;569;7202;51392;222223
18-19;42;4120540,50;0,00;0;0;4;86;1328;9535
18-19;44;3999831,00;968327,02;0;5;279;4330;33416;155467
18-19;46;4159515,00;1268314,35;1;1;55;790;7832;47086
18-19;48;4189740,75;154628,61;0;0;6;87;931;6317
18-19;50;3833633,25;1139217,69;0;0;17;272;2491;16595
18-19;51;4512165,00;2040121,50;0;3;77;1502;13818;78182
18-19;52;4102446,00;2378533,88;1;16;700;10030;70377;268124
18-19;54;3739049,25;369220,14;0;1;8;82;691;4599
18-19;55;3736820,25;649648,83;0;5;157;1748;12405;59562
18-19;56;3805482,75;929910,35;2;9;234;2930;21177;97099
19-20;01;3104821,50;1344209,58;0;0;13;226;2089;14164
19-20;02;3570731,25;2073842,63;0;1;46;521;4502;25758
19-20;03;4410378,75;2341647,47;0;6;161;1859;13551;69098
19-20;05;4474635,00;3154169,65;0;0;8;207;2451;17593
19-20;07;4718995,50;4205708,88;0;0;15;234;2327;15309
19-20;09;4396063,50;5314672,82;0;0;11;171;1931;13827
19-20;11;5368908,00;6347747,74;0;1;45;675;5486;32633
19-20;13;6169290,75;6750415,84;0;2;72;926;8720;50813
19-20;15;5216322,00;7213112,65;0;12;219;2770;20704;103422
19-20;17;5389279,50;7604336,80;0;0;10;280;3155;22319
19-20;19;6705048,00;8870817,48;4;18;536;6819;47869;213132
19-20;21;4160239,50;779923,92;0;0;4;163;1914;13998
19-20;23;4040124,75;1757580,20;2;24;781;9034;58370;226143
19-20;24;3907538,25;0,00;0;13;270;3540;27453;129437
19-20;27;4169648,25;1284146,23;0;0;2;86;773;6244
19-20;29;3913442,25;2523054,89;1;8;374;4960;33989;143689
19-20;31;4034055,00;238585,63;0;0;12;123;1072;6472
19-20;32;3934787,25;1186588,56;0;2;32;620;6667;42684
19-20;33;4203404,25;1481697,60;0;1;30;341;3267;16453
19-20;34;4304964,00;1796952,92;0;4;167;2406;17918;88628
19-20;35;4415524,50;2119825,22;0;0;12;189;1690;12247
19-20;37;4414641,75;3157473,48;0;0;74;952;8486;54323
19-20;39;4424678,25;4194914,29;0;4;81;899;7243;38970
19-20;40;4994394,75;4526765,16;0;0;3;33;399;3005
19-20;41;2696538,00;5700447,93;4;29;781;10621;41270;149957
19-20;42;2432289,75;146347,99;0;1;25;332;2586;14916
19-20;43;1593588,00;0,00;0;1;30;415;3771;23011
19-20;44;1994326,50;492201,08;0;0;8;163;1698;10417
19-20;45;1575696,00;0,00;0;0;24;356;3012;17986
19-20;46;2559186,00;960867,81;0;4;101;1194;10906;60521
19-20;47;1610388,00;489807,66;0;1;21;271;2729;16638
19-20;48;2640817,50;1152806,76;0;1;15;288;2764;17837
19-20;49;1622131,50;610586,76;4;30;504;4668;27043;99946
19-20;50;2838107,25;1350868,07;0;1;21;313;2621;15554
19-20;51;1937613,00;0,00;0;0;1;39;548;4474
19-20;52;2210665,50;1563726,11;0;1;20;267;2369;14297
20-21;01;2027263,50;433865,21;0;0;25;356;3103;18964
20-21;02;2801965,50;1051061,15;0;2;20;259;2447;15761
20-21;03;3450948,75;1261208,56;1;3;148;1326;9688;51443
20-21;05;2933729,25;320103,84;0;0;5;114;1361;9405
20-21;07;3451203,00;1174768,80;0;0;4;100;1010;7219
20-21;09;2760121,50;1985801,51;0;0;6;92;1066;8361
20-21;11;3531795,75;2915507,74;0;8;185;2705;22482;113307
20-21;13;4284345,75;3312939,94;0;20;592;8083;58848;246896
20-21;15;3084318,75;501073,34;0;2;68;1136;8980;47156
20-21;17;3726392,25;732397,25;1;2;51;1084;12559;79351
20-21;19;3491465,25;0,00;0;0;37;569;5240;31232
20-21;21;3504948,75;941954,78;0;3;118;1769;14217;72723
20-21;22;3973360,50;1379245,88;1;3;71;970;7954;44645
20-21;25;2669930,25;0,00;1;14;275;3660;30768;143371
20-21;26;3363713,25;571791,26;0;4;31;389;4463;30785
20-21;29;3149695,50;923585,23;0;0;40;609;4756;25968
20-21;30;3959165,25;1945164,24;0;0;67;1255;12982;78705
20-21;31;4514063,25;2875568,07;0;4;49;849;7469;46155
20-21;32;4210467,00;3214122,81;4;365;7932;61917;262143;665965
20-21;34;3547473,75;0,00;1;1;53;1626;19243;111479
20-21;36;3604960,50;633160,80;2;6;240;2915;21870;104033
20-21;37;4068215,25;182762,78;0;3;101;2183;21068;113259
20-21;38;4042440,75;487878,92;0;0;9;195;2035;14340
20-21;39;4167147,75;1437852,50;0;0;36;611;5397;31263
20-21;42;2983276,50;0,00;0;3;88;1269;10517;58842
20-21;43;3891830,25;598813,47;0;0;7;138;1296;9962
20-21;44;3486586,50;1513393,58;0;0;14;222;2236;14466
20-21;46;3553054,50;2332741,41;1;2;48;702;5842;33566
20-21;47;3380428,50;0,00;0;11;313;5127;40037;181711
20-21;48;3626585,25;407681,01;0;0;13;211;2130;13184
20-21;50;3575781,75;1259928,54;2;27;783;9687;63415;239079
20-21;52;2814708,00;662188,37;6;35;1130;10539;57483;200635
21-22;01;2417637,75;298200,72;1;16;384;4507;26651;103695
21-22;02;2629699,50;0,00;0;2;64;795;6528;34738
21-22;03;2895129,75;0,00;0;1;45;569;4406;24843
21-22;05;2643905,25;0,00;2;5;174;2357;18055;84225
21-22;07;2259804,75;0,00;0;0;1;41;702;4911
21-22;09;3214614,00;1197139,38;0;3;286;4694;34889;156537
21-22;11;2745948,75;1438235,43;0;0;15;305;2791;15363
21-22;13;3469126,50;2221050,06;12;108;2239;19769;95940;291615
21-22;15;2578894,50;460689,67;0;0;17;207;1926;12006
21-22;17;2761433,25;1170430,74;2;2;53;646;5868;33807
21-22;19;3013166,25;0,00;0;11;295;3300;21605;96165
21-22;21;3507337,50;909358,18;1;17;787;11010;69567;255965
21-22;23;3153903,75;315660,38;4;11;183;1961;12888;60613
21-22;24;3315908,25;0,00;0;0;5;129;2091;18924
21-22;26;3132840,75;878200,46;5;11;293;3680;23787;102066
21-22;27;3185330,25;0,00;0;0;9;110;1084;7931
21-22;29;2815248,00;915420,65;0;0;6;72;843;6865
21-22;31;3220254,00;1577003,93;3;278;3509;21563;85308;242667
21-22;34;2666824,50;680600,10;0;0;0;29;401;2773
21-22;36;3020222,25;1409985,99;0;5;140;1592;11269;52428
21-22;37;3704015,25;1636502,66;0;3;77;1015;8874;50179
21-22;39;3352023,00;1914303,80;4;50;1099;11181;62681;219347
21-22;41;2750703,75;524092,47;4;87;1893;17885;90790;289043
21-22;42;3505834,50;455321,55;0;6;216;2883;23719;119180
21-22;44;3314308,50;718259,14;1;1;56;1128;9073;50492
21-22;46;2951487,00;0,00;0;1;15;378;3510;25027
21-22;48;3649089,00;640678,43;3;7;327;3674;27475;131498
21-22;49;3304804,50;0,00;3;12;273;3996;31906;149521
21-22;50;2828420,25;0,00;0;0;24;323;3476;23344
21-22;53;3435697,50;1113931,32;1;74;1405;13179;70504;248402
21-22;54;3043860,00;309212,78;0;2;74;1056;7876;40754
21-22;56;1350206,25;0,00;3;8;242;3156;24377;113463
21-22;57;2629173,00;0,00;0;0;4;69;718;5931
22-23;01;2633274,00;360033,00;0;0;90;1591;14042;71640
22-23;02;2824447,50;978852,39;0;6;198;2739;22261;108598
22-23;03;3331783,50;1190685,95;0;0;47;739;6736;40751
22-23;04;3795538,50;1973655,07;0;2;94;1476;13690;79919
22-23;06;3791904,00;2258320,46;1;10;233;2836;19612;92706
22-23;08;3185686,50;0,00;1;5;112;1587;13087;73133
22-23;10;3555317,25;128419,37;0;0;7;129;1274;9751
22-23;12;3445381,50;963918,92;0;0;45;809;7107;38221
22-23;14;3493293,00;1773583,57;6;18;498;6254;41574;163074
22-23;16;3124670,25;0,00;0;2;146;1947;16925;86002
22-23;18;3311874,75;349025,29;0;0;2;47;610;5295
22-23;20;3471444,00;1127315,86;0;0;13;188;1771;11758
22-23;33;3164301,75;1051182,46;1;12;361;4970;33871;138926
22-23;34;2731515,75;0,00;0;1;39;560;5276;31216
22-23;35;4543359,00;3141154,63;13;783;14130;94581;331677;736014
22-23;36;3021156,00;613765,99;0;3;180;2591;19972;93166
22-23;37;3654992,25;840352,69;0;0;5;53;412;3126
22-23;38;3814617,75;1699275,87;0;13;1423;17735;98498;303341
22-23;40;3826878,75;2328687,80;4;56;1157;11264;66937;250122
22-23;42;3365730,75;548198,28;0;0;2;29;524;4320
22-23;43;3715821,00;1339145,01;0;0;7;174;2198;17207
22-23;45;3736110,00;2212362,95;0;1;42;803;8302;50880
22-23;47;3598807,50;2565509,47;0;0;49;727;5966;32321
22-23;49;3392448,75;144550,76;1;4;138;1937;14711;75585
22-23;50;2942199,00;0,00;0;0;18;259;2946;20420
22-23;51;3544773,75;691416,77;0;7;324;5077;39499;177113
22-23;52;2957973,75;957274,80;2;19;565;6338;37975;144220
22-23;54;2879064,75;0,00;1;16;442;5118;34181;131568
22-23;57;3040607,25;515519,24;0;0;16;247;2570;19110
22-23;58;3012967,50;1230061,94;0;1;62;1123;10584;55841
22-23;60;3172962,00;1456034,50;0;0;73;1531;13667;71961
23-24;01;2664055,50;568402,44;0;0;2;30;278;1824
23-24;02;2789930,25;1194455,48;0;10;317;3989;28391;124328
23-24;03;2752867,50;1403700,25;0;1;12;156;1734;12849
23-24;04;3603363,00;1610165,31;1;2;108;1578;13716;74249
23-24;07;3364192,50;183756,13;0;8;387;6311;51708;190202
23-24;09;2769535,50;436070,57;0;5;157;1915;14812;74637
23-24;11;3169569,75;643785,73;0;1;78;1333;10876;55145
23-24;13;3192126,75;881503,46;0;0;12;228;2465;17307
23-24;15;3964992,00;1818551,08;3;16;509;6228;42168;179220
23-24;17;3269358,75;526989,40;0;0;32;561;5142;29955
23-24;18;3793412,25;1295288,71;1;1;81;1236;12038;67857
23-24;20;3318120,00;108629,78;0;1;124;1902;15480;78843
23-24;22;3642062,25;523894,34;16;90;1554;14904;84434;299851
23-24;24;3388826,25;433401,10;0;1;40;683;5937;34662
23-24;25;3507327,75;687563,07;0;1;8;202;1178;8375
23-24;27;3291150,75;950612,65;0;0;9;223;2528;17203
23-24;28;2031905,25;0,00;0;0;10;143;1607;9935
23-24;33;2911326,75;258538,36;0;0;7;199;1906;13453
23-24;34;3358754,25;942700,15;2;5;155;2353;20983;109084
23-24;35;3336939,75;0,00;0;0;4;62;655;5536
23-24;36;3574024,50;784180,84;0;2;25;343;2690;16267
23-24;37;3586359,00;1052232,68;0;0;5;117;1064;7982
23-24;39;3539665,50;1895027,05;1;12;417;5327;37907;161430
23-24;42;3743558,25;929204,63;1;1;35;540;5010;31417
23-24;44;3153494,25;0,00;0;3;58;881;8558;54481